set_id,name,year,theme,subtheme,themeGroup,category,pieces,minifigs,US_retailPrice
3458-1,2x4 Black Bricks,2000,Bulk Bricks,,Basic,Normal,50.0,0,6.99
3461-1,2x4 Dark Green Bricks,2000,Bulk Bricks,,Basic,Normal,50.0,0,6.99
3462-1,2x4 Red Bricks,2000,Bulk Bricks,,Basic,Normal,50.0,0,6.99
3470-1,1x4 White Bricks,2000,Bulk Bricks,,Basic,Normal,50.0,0,5.99
3485-1,2x4 Red Plates,2000,Bulk Bricks,,Basic,Normal,100.0,0,8.99
3489-1,2x8 Black Plates,2000,Bulk Bricks,,Basic,Normal,25.0,0,4.99
3731-1,Pumpkin Pack,2000,Bulk Bricks,Seasonal,Basic,Normal,87.0,0,9.99
3732-1,Castle Expander Pack,2000,Bulk Bricks,Castle,Basic,Normal,24.0,0,4.99
3734-1,Blue Train Windows with Panes,2000,Bulk Bricks,Trains,Basic,Normal,20.0,0,5.99
B003-1,"1x4x6 Red Door and Frames, Transparent Green Panes",2000,Bulk Bricks,,Basic,Other,10.0,0,9.99
B005-1,"2 x 4 Ridge Roof Tiles, Low Sloped Red",2000,Bulk Bricks,,Basic,Other,25.0,0,4.99
3750-1,Life On Mars Accessories,2001,Bulk Bricks,Space,Basic,Normal,48.0,0,4.99
10010-1,Assorted Yellow Bricks,2001,Bulk Bricks,,Basic,Normal,62.0,0,4.99
10011-1,Assorted Blue Plates,2001,Bulk Bricks,,Basic,Normal,42.0,0,4.99
10114-1,2 x 2 Sand Red Roof Tile,2001,Bulk Bricks,,Basic,Normal,100.0,0,7.99
10115-1,Jumper Bricks,2001,Bulk Bricks,,Basic,Normal,80.0,0,4.99
10030-1,Imperial Star Destroyer,2002,Star Wars,Ultimate Collector Series,Licensed,Normal,3096.0,0,269.99
10044-1,Windows and Doors,2002,Bulk Bricks,,Basic,Normal,44.0,0,7.99
10047-1,Arch,2002,Bulk Bricks,,Basic,Normal,36.0,0,5.99
10054-1,Black Roof Tiles,2002,Bulk Bricks,,Basic,Normal,68.0,0,5.99
10055-1,Black Roof Tiles,2002,Bulk Bricks,,Basic,Normal,50.0,0,5.99
10062-1,Red Plates,2002,Bulk Bricks,,Basic,Normal,84.0,0,4.99
10076-1,Technic Gear Wheels,2002,Bulk Bricks,Technic,Basic,Normal,39.0,0,12.99
10072-1,Technic Beams,2003,Bulk Bricks,Technic,Basic,Normal,56.0,0,9.99
10073-1,Technic Bushes,2003,Bulk Bricks,Technic,Basic,Normal,130.0,0,9.99
10080-1,Angel,2003,Seasonal,Christmas,Miscellaneous,Normal,33.0,0,2.49
4683-1,Pony and Cart,2004,Duplo,LEGO Ville,Pre-school,Normal,5.0,1,4.99
4687-1,Tractor-Trailer,2004,Duplo,LEGO Ville,Pre-school,Normal,8.0,1,12.99
10160-1,Black Ridge Tiles,2004,Bulk Bricks,,Basic,Normal,48.0,0,5.99
10161-1,Black Roof Tiles,2004,Bulk Bricks,,Basic,Normal,76.0,0,5.99
3297-1,Scoop and Lofty at the Building Yard,2005,Duplo,Bob the Builder,Pre-school,Normal,59.0,3,29.99
3770-1,My First Train,2005,Duplo,Trains,Pre-school,Normal,12.0,1,9.99
3771-1,Train Starter Set,2005,Duplo,Trains,Pre-school,Normal,65.0,2,49.99
3772-1,Deluxe Train Set,2005,Duplo,Trains,Pre-school,Normal,110.0,3,89.99
3773-1,Level Crossing,2005,Duplo,Trains,Pre-school,Normal,14.0,0,7.99
3774-1,Bridge,2005,Duplo,Trains,Pre-school,Normal,26.0,0,19.99
3775-1,Points,2005,Duplo,Trains,Pre-school,Normal,2.0,0,6.99
4659-1,Garbage Truck,2005,Duplo,LEGO Ville,Pre-school,Normal,12.0,1,12.99
4665-1,Big Farm,2005,Duplo,LEGO Ville,Pre-school,Normal,70.0,3,59.99
4779-1,Defense Tower,2005,Duplo,Castle,Pre-school,Normal,64.0,2,24.99
4820-1,Princess' Palace,2005,Duplo,Princess Castle,Pre-school,Normal,78.0,3,79.99
5554-1,Thomas Load and Carry Train Set,2005,Duplo,Thomas the Tank Engine,Pre-school,Normal,61.0,2,29.99
7235-1,Police Motorcycle,2005,City,Police,Modern day,Normal,28.0,1,3.99
7236-1,Police Car,2005,City,Police,Modern day,Normal,59.0,1,5.99
7237-1,Police Station,2005,City,Police,Modern day,Normal,586.0,5,69.99
7238-1,Fire Helicopter,2005,City,Fire,Modern day,Normal,75.0,1,9.99
7239-1,Fire Truck,2005,City,Fire,Modern day,Normal,214.0,2,22.99
7241-1,Fire Car,2005,City,Fire,Modern day,Normal,46.0,1,3.99
7242-1,Street Sweeper,2005,City,Construction,Modern day,Normal,63.0,1,7.99
7243-1,Construction Site,2005,City,Construction,Modern day,Normal,298.0,3,39.99
7244-1,Speedboat,2005,City,Harbor,Modern day,Normal,107.0,2,29.99
7245-1,Prisoner Transport,2005,City,Police,Modern day,Normal,98.0,2,12.99
7246-1,Mini Digger,2005,City,Construction,Modern day,Normal,36.0,1,3.99
7248-1,Digger,2005,City,Construction,Modern day,Normal,127.0,1,19.99
7249-1,XXL Mobile Crane,2005,City,Construction,Modern day,Normal,524.0,2,69.99
7280-1,Straight & Crossroad Plates,2005,City,Road Plates,Modern day,Normal,2.0,0,14.99
7281-1,T-Junction & Curved Road Plates,2005,City,Road Plates,Modern day,Normal,2.0,0,14.99
7840-1,Airport Action Set,2005,Duplo,Airport,Pre-school,Normal,103.0,5,79.99
7843-1,Plane,2005,Duplo,Airport,Pre-school,Normal,32.0,2,39.99
8416-1,Fork-Lift,2005,Technic,,Technical,Normal,729.0,0,69.99
8418-1,Mini Loader,2005,Technic,,Technical,Normal,66.0,0,5.99
8654-1,Scuderia Ferrari Truck,2005,Racers,Ferrari,Racing,Normal,813.0,6,79.99
8736-1,Toa Hordika Vakama,2005,Bionicle,Toa Hordika,Constraction,Normal,48.0,0,8.99
8791-1,Sir Danju,2005,Castle,Knights' Kingdom II,Historical,Normal,42.0,0,8.99
10143-1,Death Star II,2005,Star Wars,Ultimate Collector Series,Licensed,Normal,3441.0,0,269.99
10144-1,Sandcrawler,2005,Star Wars,Episode IV,Licensed,Normal,1669.0,11,139.99
10168-1,Mrs. Bunny,2005,Seasonal,Easter,Miscellaneous,Normal,61.0,0,3.99
10169-1,Chicken & Chicks,2005,Seasonal,Easter,Miscellaneous,Normal,57.0,0,3.99
2598-1,Large Red Building Plate,2006,Duplo,,Pre-school,Normal,1.0,0,14.99
3299-1,Scrambler and Dizzy at Bob's Workshop,2006,Duplo,Bob the Builder,Pre-school,Normal,50.0,3,19.99
4415-1,Auto Pod,2006,Creator,3 in 1,Model making,Normal,56.0,0,3.49
4416-1,Robo Pod,2006,Creator,3 in 1,Model making,Normal,65.0,0,3.49
4891-1,Highway Haulers,2006,Creator,6 in 1,Model making,Normal,209.0,0,9.99
4892-1,Prehistoric Power,2006,Creator,8 in 1,Model making,Normal,380.0,0,19.99
4894-1,Mythical Creatures,2006,Creator,8 in 1,Model making,Normal,588.0,0,29.99
4895-1,Motion Power,2006,Creator,3 in 1,Model making,Normal,611.0,0,49.99
4896-1,Roaring Roadsters,2006,Creator,3 in 1,Model making,Normal,931.0,0,60.0
4960-1,Giant Zoo,2006,Duplo,LEGO Ville,Pre-school,Normal,126.0,5,69.99
4961-1,Fun Zoo,2006,Duplo,LEGO Ville,Pre-school,Normal,30.0,0,15.99
4962-1,Baby Zoo,2006,Duplo,LEGO Ville,Pre-school,Normal,18.0,1,9.99
4964-1,Highway Help,2006,Duplo,LEGO Ville,Pre-school,Normal,26.0,2,19.99
4966-1,Doll's House,2006,Duplo,LEGO Ville,Pre-school,Normal,95.0,4,69.99
4967-1,Fire Helicopter,2006,Duplo,LEGO Ville,Pre-school,Normal,14.0,2,15.99
4968-1,Friendly Zoo,2006,Duplo,LEGO Ville,Pre-school,Normal,84.0,2,49.99
4969-1,Tractor Fun,2006,Duplo,LEGO Ville,Pre-school,Normal,4.0,1,4.99
4971-1,Zoo Vehicles,2006,Duplo,LEGO Ville,Pre-school,Normal,37.0,2,24.99
6205-1,V-wing Fighter,2006,Star Wars,Episode III,Licensed,Normal,118.0,1,10.0
6208-1,B-wing Fighter,2006,Star Wars,Episode VI,Licensed,Normal,435.0,2,34.99
6209-1,Slave I,2006,Star Wars,Episode V,Licensed,Normal,537.0,5,49.99
6210-1,Jabba's Sail Barge,2006,Star Wars,Episode VI,Licensed,Normal,781.0,8,74.99
6211-1,Imperial Star Destroyer,2006,Star Wars,Episode IV,Licensed,Normal,1367.0,9,99.99
6212-1,X-wing Fighter,2006,Star Wars,Episode V,Licensed,Normal,437.0,6,49.99
7700-1,Stealth Hunter,2006,Exo-Force,Original,Action/Adventure,Normal,164.0,1,14.99
7707-1,Striking Venom,2006,Exo-Force,Original,Action/Adventure,Normal,646.0,6,49.99
7711-1,Sentry,2006,Exo-Force,Original,Action/Adventure,Normal,78.0,1,4.99
7880-1,Big Pirate Ship,2006,Duplo,Pirates,Pre-school,Normal,60.0,4,99.99
7881-1,Pirate Ship,2006,Duplo,Pirates,Pre-school,Normal,33.0,2,39.99
7882-1,Shark Attack,2006,Duplo,Pirates,Pre-school,Normal,13.0,1,19.99
7883-1,Treasure Hunt,2006,Duplo,Pirates,Pre-school,Normal,14.0,2,9.99
7890-1,Ambulance,2006,City,Medical,Modern day,Normal,118.0,1,7.99
7891-1,Airport Fire Truck,2006,City,Airport,Modern day,Normal,148.0,1,14.99
7892-1,Hospital,2006,City,Medical,Modern day,Normal,382.0,4,49.99
7893-1,Passenger Plane,2006,City,Airport,Modern day,Normal,401.0,4,39.99
7894-1,Airport,2006,City,Airport,Modern day,Normal,700.0,5,79.99
7895-1,Switching Tracks,2006,City,Trains,Modern day,Normal,8.0,0,15.99
7896-1,Straight and Curved Rails,2006,City,Trains,Modern day,Normal,16.0,0,15.99
7897-1,Passenger Train,2006,City,Trains,Modern day,Normal,501.0,3,89.99
7898-1,Cargo Train Deluxe,2006,City,Trains,Modern day,Normal,856.0,5,149.99
7901-1,Airplane Mechanic,2006,City,Airport,Modern day,Normal,26.0,1,3.49
7902-1,Doctor's Car,2006,City,Medical,Modern day,Normal,66.0,1,5.99
7903-1,Rescue Helicopter,2006,City,Medical,Modern day,Normal,249.0,3,19.99
7905-1,Building Crane,2006,City,Construction,Modern day,Normal,721.0,3,69.99
8283-1,Telehandler,2006,Technic,,Technical,Normal,323.0,0,29.99
8285-1,Tow Truck,2006,Technic,,Technical,Normal,1877.0,0,119.99
8287-1,Motor Box,2006,Technic,,Technical,Normal,93.0,0,29.99
8288-1,Crawler Crane,2006,Technic,,Technical,Normal,800.0,0,49.99
8289-1,Fire Truck,2006,Technic,,Technical,Normal,1035.0,0,74.99
8527-1,Mindstorms NXT,2006,Mindstorms,NXT,Technical,Normal,577.0,0,249.99
8528-1,Converter Cables for Mindstorms NXT,2006,Mindstorms,NXT,Technical,Normal,3.0,0,9.99
8529-1,Connector Cables for Mindstorms NXT,2006,Mindstorms,NXT,Technical,Normal,7.0,0,9.99
8624-1,Race for the Mask of Life,2006,Bionicle,Playsets,Constraction,Normal,507.0,8,59.99
8671-1,Ferrari 430 Spider 1:17,2006,Racers,Ferrari,Racing,Normal,559.0,0,39.99
8672-1,Ferrari Finish Line,2006,Racers,Ferrari,Racing,Normal,573.0,10,60.0
8673-1,Ferrari F1 Fuel Stop,2006,Racers,Ferrari,Racing,Normal,189.0,5,19.99
8674-1,Ferrari F1 Racer 1:8,2006,Racers,Ferrari,Racing,Normal,1246.0,0,139.99
8705-1,Dracus,2006,Castle,Knights' Kingdom II,Historical,Normal,38.0,0,9.99
8706-1,Karzon,2006,Castle,Knights' Kingdom II,Historical,Normal,44.0,0,9.99
8727-1,Toa Jaller,2006,Bionicle,Toa Inika,Constraction,Normal,46.0,0,10.0
8728-1,Toa Hahli,2006,Bionicle,Toa Inika,Constraction,Normal,46.0,0,9.99
8729-1,Toa Nuparu,2006,Bionicle,Toa Inika,Constraction,Normal,54.0,0,9.99
8731-1,Toa Kongu,2006,Bionicle,Toa Inika,Constraction,Normal,46.0,0,9.99
8893-1,Lava Chamber Gate,2006,Bionicle,Playsets,Constraction,Normal,373.0,8,39.99
9798-1,Rechargeable Battery,2006,Mindstorms,NXT,Technical,Normal,1.0,0,54.99
9833-2,Transformer,2006,Mindstorms,NXT,Technical,Normal,1.0,0,23.99
9841-1,NXT Intelligent Brick,2006,Mindstorms,NXT,Technical,Normal,1.0,0,169.99
9842-1,Interactive Servo Motor,2006,Mindstorms,NXT,Technical,Normal,1.0,0,24.99
9843-1,Touch Sensor,2006,Mindstorms,NXT,Technical,Normal,1.0,0,24.99
9844-1,Light Sensor,2006,Mindstorms,NXT,Technical,Normal,1.0,0,24.99
9845-1,Sound Sensor,2006,Mindstorms,NXT,Technical,Normal,1.0,0,34.99
9846-1,Ultrasonic Sensor,2006,Mindstorms,NXT,Technical,Normal,1.0,0,39.99
9847-1,Bluetooth Dongle,2006,Mindstorms,NXT,Technical,Normal,1.0,0,32.5
10173-1,Holiday Train,2006,Advanced models,Trains,Model making,Normal,965.0,7,89.99
10174-1,Imperial AT-ST,2006,Star Wars,Ultimate Collector Series,Licensed,Normal,1068.0,0,79.99
10175-1,Vader's TIE Advanced,2006,Star Wars,Ultimate Collector Series,Licensed,Normal,1212.0,0,99.99
10176-1,King's Castle,2006,Castle,Knights' Kingdom II,Historical,Normal,869.0,12,99.99
10177-1,Boeing 787 Dreamliner,2006,Advanced models,Aircraft,Model making,Normal,1197.0,0,79.99
BAG2-1,1x1 Stud Light Grey,2006,Bulk Bricks,,Basic,Other,90.0,0,2.99
BAG3-1,1x1 Stud Medium Grey,2006,Bulk Bricks,,Basic,Other,90.0,0,2.99
BAG4-1,1x1 Stud Dark Grey,2006,Bulk Bricks,,Basic,Other,90.0,0,2.99
MS1034-1,Compass Sensor for Mindstorms NXT,2006,Mindstorms,NXT,Technical,Other,1.0,0,54.99
3288-1,Packer,2007,Duplo,Bob the Builder,Pre-school,Normal,19.0,2,19.99
3289-1,Muck & Roley in the Sunflower Factory,2007,Duplo,Bob the Builder,Pre-school,Normal,37.0,3,29.99
3352-1,Salty the Dockyard Diesel,2007,Duplo,Thomas the Tank Engine,Pre-school,Normal,8.0,1,12.99
3353-1,Spencer and Sir Topham Hatt,2007,Duplo,Thomas the Tank Engine,Pre-school,Normal,45.0,2,29.99
3354-1,Gordon's Express,2007,Duplo,Thomas the Tank Engine,Pre-school,Normal,13.0,1,19.99
4825-1,Princess and Horse,2007,Duplo,Princess Castle,Pre-school,Normal,8.0,1,9.99
4826-1,Princess and Pony Picnic,2007,Duplo,Princess Castle,Pre-school,Normal,19.0,1,19.99
